"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","27.7495769423115","26.5180466398051","24.3282649605648","25.8010820224719","27.4745954083553","32.6589596096274","","","","","","","","","","26.5402034343833","30.534957121921","36.4863128852574","32.4308444394093","26.549614692134","25.4975887020152","22.293351637065","24.8689919559222","22.5625738127899","25.7954053174963","25.5942335955863","30.3123546963389","","","","",
"Arab World","ARB","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","2.62820513255857","1.50152861106996","","","1.69158998306647","","","","1.15122963429907","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","12.0081440364756","10.3100017266959","11.0498575038768","10.4300034564536","10.6201662513328","10.2900157680781","10.3599980273808","","","9.11593492758106","7.88315755419691","7.14880167281233","7.08468167154973","8.46351287019914","8.25794404700463","8.41683366800611","8.0094365202043","7.17752722809565","5.66888340678125","","","","","","","","","","","","","",
"Armenia","ARM","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","11.6957720541659","11.2872939711585","10.9293680237801","10.6848835281016","10.3716645490281","10.0999705953259","9.75609755572251","9.45798472400121","9.28375912981455","9.04024768024269","9.01363720766699","9.00647126327365","7.41519852838542","8.33234772130449","7.71553519479516","8.01321563785415","8.00938035341006","7.49980479223569","7.47241198182999","7.45393100868876","7.25619940981658","7.43681045955493","7.28111079303141","7.56105159707869","7.84374038856143","7.45711459284225","6.86031446571316","6.06550748034295","5.74261573841789","","6.35611303067895","","","","","","","","","3.64663405833776","3.41126808234572","3.4208573310225","2.89287017753536","2.54593237578971","2.79133722965697","2.79602351611168","2.71031059157364","2.93257858216727","2.76731667889659","","","","",
"Austria","AUT","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","15.6969755895203","15.1396317207998","14.9303165767216","14.2933227548249","13.6635678229066","13.7722073338752","13.1097861183955","12.6552690210825","12.9868934649223","12.5425138790634","11.8309942218336","10.3581117935106","10.0465173202936","10.3940405830855","10.2373490081117","9.40440564270317","9.36458045709724","9.7698125673308","9.72569538311949","9.53067415504748","8.99579505534916","8.72706681793852","8.28492508985692","8.16682413445841","7.7557244710512","7.33107404800628","6.90650662663507","6.8123139391561","6.52839865651532","6.55224030487036","6.31720041633267","5.57568917414981","5.91791539819768","4.94493490349401","4.93428605784198","4.63023141295474","4.29764481336386","4.07382334952854","3.93458736501289","3.17626974744727","2.79276058928589","2.59120008162956","2.81243239458979","2.19234468995165","2.05492208752079","2.28551040944799","2.2271822981608","2.19096145330341","","","","","",
"Azerbaijan","AZE","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.27814921437497","2.27575779630323","1.68364341375844","1.38669106812407","1.08320095933849","1.33986327312798","1.16065679985693","0.767759190468494","1.0962757849141","1.21332284573367","1.81167802217763","","","","",
"Burundi","BDI","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","25.4411861885059","20.5022206789112","19.5048218489825","16.8845325968396","12.3863589977648","12.3763393532181","9.32992237062932","8.11581879327657","7.20229599734378","10.7664313131036","","","10.5684315454539","","","9.56468107191593","8.54476166710706","8.4954611995162","6.72972494532517","8.75867815588663","8.61457992762149","","","","","","","","","","","","","","","","2.05547040350064","0.857716237337163","0.560892575681477","0.791488687116844","","","","","",
"Belgium","BEL","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","15.4994086794133","15.2478222780932","14.5837350823594","15.3085840619773","14.1638460663","13.9741907895202","13.2572002674137","12.5929841331042","12.9937962705746","13.0419148922654","11.7330376149861","10.8360147502431","9.88819786648665","10.2155776202371","9.18006718917329","8.51469178434801","8.35374920748195","8.23964272380851","8.49681451261001","8.36963913094854","8.3394023147153","8.16925466540037","7.48299626901037","7.95036250629625","8.06688565175225","6.73274552199013","7.04028704365698","7.31071860634677","7.25792001678931","7.36846764821803","7.38096161304277","7.30483627775232","6.09621912154253","6.19957625681396","6.44255089722411","6.46744420615956","6.05426904986419","5.27645703422847","5.67726708415053","","4.84870122196117","4.33910455050053","3.90177013121487","3.75873090906288","3.83208500114846","3.16056371373902","3.05718819150778","2.83739769559816","","","","","",
"Benin","BEN","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","17.186265870358","15.0567035396713","16.4876130801682","15.7904598019425","15.7156129562532","17.9686896546925","14.2836156495159","14.3788689718925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","13.4739206216989","13.4787702664371","13.9579021295135","13.9817146999587","14.0977227797126","15.0984095394351","19.001042516863","19.0145754279245","14.9219510179507","18.5927472181532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","36.2072611429867","38.1415436478571","46.5691439606412","46.6162155099359","49.5054603099625","50.866622239364","37.698335384614","41.9423934040941","36.8186594353588","33.0031158119791","33.0317966508329","37.9637619436829","36.9563158169956","42.8810875672372","37.411229441179","32.6305139879335","35.1052758677045","30.9607672867426","30.2837746423911","37.723791553307","37.1761124895943","38.7179802169401","37.6854310673378","37.5284110985477","37.9757889644201","37.5653575065685","","","44.4557622864752","","","40.3249366840735","","","","","","","","19.7983276680429","","","","","","","","","",
"Bulgaria","BGR","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7730942858357","10.8789521277241","12.6634410394527","13.6119024829599","13.6690647090788","17.6559660995572","19.5079085993036","19.0278456160559","17.0018975421903","14.6031234925562","13.6016154639947","12.0082815654066","13.6457903100082","13.0595050122191","12.4612523308115","12.7561136818372","","","","",
"Bahrain","BHR","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.64579634623826","2.69122996862328","2.25196123702144","3.42197979456844","3.23214175812563","","","","","",
"Bahamas, The","BHS","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","1.08902044007595","","","2.27265518444508","1.82115973760364","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6789890681163","13.6682538708036","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5333228167664","6.50293803029869","6.46919434250893","7.12430934810423","","","","",
"Belize","BLZ","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83390817410463","7.44363395225464","4.38508873628824","3.81468637419616","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","28.0918725929903","27.0479126612185","23.7017314632421","24.4444444444444","24.9259917110716","16.3111668757842","21.1103253182461","18.3898059658268","20.5102247418506","18.5529010238908","11.0216473072862","5.61824165491302","6.43704606720352","10.4964383376933","9.58068538588786","11.3931702274062","6.27035291725129","5.40953262986884","3.69051868784624","5.10216203548966","5.30155927491708","4.04183104571255","4.99605508675818","5.40883525528642","4.90730949726207","4.84297707046324","4.43637351040362","4.31177075640185","4.66573562267198","5.97944630801855","5.1716786616931","4.09509559877654","","","","","","","","","","","","","","",
"Brazil","BRA","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2460824143935","","9.81638022790895","10.5597482898115","9.38078605199171","7.20441153393368","8.12490508117369","7.14481569173613","7.25761717840492","7.40562839109695","6.90537585179892","6.73772737164041","6.51853057616022","6.11287885288469","5.93105682909795","5.5165176350855","5.5831784775087","5.68890368364023","5.41021993404216","6.21399172240414","6.15993541049957","6.18240985020742","","","","",
"Barbados","BRB","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","14.7731820000728","15.9402176060419","13.6081738310873","13.111315793858","15.9063953059159","17.2383564790076","20.8652413202898","23.3770539633702","15.6349215316303","18.2420022620913","12.4716659926073","17.5215978312348","14.2245318519846","12.2848991284731","11.3798039106121","8.77077112633063","9.11288236815499","9.49018788764882","9.27985140189262","7.85040329483319","6.28299783344902","4.33138570767599","3.98906227900618","3.53572411262955","3.20418523293196","3.18724234829752","3.30905083265897","3.309050349743","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Textiles and clothing (% of value added in manufacturing)","NV.MNF.TXTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
