Table 1.
        Energy and water needs.
Fibre,Energy use in MJ per kg of fibre,Water requirement per kg of fibre
Nylon 6,120.47 (Boustead<comma> 2005),185 kg (Boustead<comma> 2005)
Nylon 66,138.65 (Boustead<comma> 2005),663 kg (Boustead<comma> 2005)
Viscose,100 (Barber and Pellow<comma> 2006),640 L (Laursen et al.<comma> 1997)
Acrylic,175 (Barber and Pellow<comma> 2006),210 L (Laursen et al.<comma> 1997)
Polyester,125 (Barber and Pellow<comma> 2006),62 kg (Boustead<comma> 2005)
Cotton,60 (Kaillala and Nousiainen<comma> 1999),22<comma>000 kg (Kaillala and Nousiainen<comma> 1999)
Wool,63 (Barber and Pellow<comma> 2006),125 L; 5–40 L (Scouring)
PP,115 (Barber and Pellow<comma> 2006),43 kg (Boustead<comma> 2005)
LDPE,78.08 (Boustead<comma> 2005),47 kg (Boustead<comma> 2005)
HDPE,76.71(Boustead<comma> 2005),32 kg (Boustead<comma> 2005)
